一,,,
one or 1,1,one,
二,,,
two or 2,2,two,
三,,,
three or 3,3,three,
四,,,
four or 4,4,four,
五,,,
five or 5,5,five,
六,,,
six or 6,6,six,
七,,,
seven or 7,7,seven,
八,,,
eight or 8,8,eight,
九,,,
nine or 9,9,nine,
十,,,
ten or 10,10,ten,
一 pronounciation,,,
いち,,,
二 pronounciation,,,
に,,,
三 pronounciation,,,
さん,,,
四 pronounciation,,,
し or よん,し,よん,
五 pronounciation,,,
ご,,,
六 pronounciation,,,
ろく,,,
七 pronounciation,,,
しち or なな,しち,なな,
八 pronounciation,,,
はち,,,
九 pronounciation,,,
きゅう,,,
十 pronounciation,,,
じゅう,,,
元気,,,
full of spirit; healthy,full of spirit,healthy,
田中,,,
Tanaka,,,
学生,,,
student,,,
木,,,
tree,,,
さん,,,
polite marker,,,
歳,,,
years old,,,
二十,,,
twenty or 20,20,twenty,
ラジオ,,,
radio,,,
初めまして,,,
nice to meet you,,,
宜しくお願いします,,,
looking forward to it; please treat me well,looking forward to it,please treat me well,
元気 pronounciation,,,
げんき,,,
田中 pronounciation,,,
たなか,,,
学生 pronounciation,,,
がくせい,,,
木 pronounciation,,,
き,,,
さん pronounciation,,,
さん,,,
歳 pronounciation,,,
さい,,,
二十 pronounciation,,,
にじゅう,,,
ラジオ pronounciation,,,
らじお,,,
初めまして pronounciation,,,
はじめまして,,,
宜しくお願いします pronounciation,,,
よろしくおねがいします,,,
あなた,,,
you,,,
男,,,
man,,,
女,,,
woman,,,
日本,,,
Japan,,,
日本人,,,
Japanese person,,,
外国人,,,
foreigner,,,
日本語,,,
Japanese language,,,
大丈夫,,,
okay,,,
ギター,,,
guitar,,,
子供,,,
child,,,
あなた pronounciation,,,
あなた,,,
男 pronounciation,,,
おとこ,,,
女 pronounciation,,,
おんな,,,
日本 pronounciation,,,
にほん or にっぽん,にほん,にっぽん,
日本人 pronounciation,,,
にほんじん or にっぽんじん,にほんじん,にっぽんじん,
外国人 pronounciation,,,
がいこくじん,,,
日本語 pronounciation,,,
にほんご,,,
大丈夫 pronounciation,,,
だいじょうぶ,,,
ギター pronounciation,,,
ぎたー,ギター,,
子供 pronounciation,,,
こども,,,
料理,,,
cousine; cooking,cousine,cooking,
食べ物,,,
food,,,
果物,,,
fruit,,,
卵,,,
egg,,,
ラーメン,,,
ramen,,,
寿司,,,
sushi,,,
丼,,,
donburi; porcelain bowl,donburi,porcelain bowl,
天ぷら,,,
tempura,,,
味噌,,,
miso; fermented soybean condiment,miso,fermented soybean condiment,
餃子,,,
gyoza; pot sticker,gyoza,pot sticker,
料理 pronounciation,,,
りょうり,,,
食べ物 pronounciation,,,
たべもの,,,
果物 pronounciation,,,
くだもの,,,
卵 pronounciation,,,
たまご,,,
ラーメン pronounciation,,,
らーめん,ラーメン,,
寿司 pronounciation,,,
すし,,,
丼 pronounciation,,,
どんぶり,,,
天ぷら pronounciation,,,
てんぷら,,,
味噌 pronounciation,,,
みそ,,,
餃子 pronounciation,,,
ぎょざ,,,
お皿,,,
plate,,,
ご飯,,,
(cooked) rice; meal,cooked rice,meal,
お酒,,,
alcohol,,,
お金,,,
money,,,
お母さん,,,
mom; mother,mom,mother,
お父さん,,,
dad; father,dad,father,
おじいさん,,,
grandfather; old man,grandfather,old man,
おばあさん,,,
grandmother; old woman,grandmother,old woman,
お菓子,,,
sweets; confections,sweets,confections,
お茶,,,
tea,,,
お皿 pronounciation,,,
おさら,,,
ご飯 pronounciation,,,
ごはん,,,
お酒 pronounciation,,,
おさけ,,,
お金 pronounciation,,,
おかね,,,
お母さん pronounciation,,,
おかあさん,,,
お父さん pronounciation,,,
おとうさん,,,
おじいさん pronounciation,,,
おじいさん,,,
おばあさん pronounciation,,,
おばあさん,,,
お菓子 pronounciation,,,
おかし,,,
お茶 pronounciation,,,
おちゃ,,,
女の子,,,
girl,,,
男の子,,,
boy,,,
おじさん,,,
uncle; man,uncle,man,
おばさん,,,
aunt; woman,aunt,woman,
兄,,,
older brother,,,
お兄さん,,,
elder brother; young man,elder brother,young man,
姉,,,
older sister,,,
お姉さん,,,
elder sister; young woman,elder sister,young woman,
弟,,,
younger brother,,,
妹,,,
younger sister,,,
女の子 pronounciation,,,
おんなのこ,,,
男の子 pronounciation,,,
おとこのこ,,,
おじさん pronounciation,,,
おじさん,,,
おばさん pronounciation,,,
おばさん,,,
兄 pronounciation,,,
あに,,,
お兄さん pronounciation,,,
おにいさん,,,
姉 pronounciation,,,
あね,,,
お姉さん pronounciation,,,
おねえさん,,,
弟 pronounciation,,,
おとうと,,,
妹 pronounciation,,,
いもうと,,,
私,,,
I (common),I,,
僕,,,
I (male),I,,
俺,,,
I (casual male),I,,
奥さん,,,
wife,,,
旦那さん,,,
husband,,,
ご主人,,,
(your) husband,husband,,
名前,,,
name,,,
今日,,,
today,,,
昨日,,,
yesterday,,,
明日,,,
tommorrow,,,
私 pronounciation,,,
わたし,,,
僕 pronounciation,,,
ぼく,,,
俺 pronounciation,,,
おれ,,,
奥さん pronounciation,,,
おくさん,,,
旦那さん pronounciation,,,
だんなさん,,,
ご主人 pronounciation,,,
ごしゅじん,,,
名前 pronounciation,,,
なまえ,,,
今日 pronounciation,,,
きょう,,,
昨日 pronounciation,,,
きのう,,,
明日 pronounciation,,,
あした or あす,あした,あす,
暗い,,,
dark,,,
熱い,,,
hot; sultry,hot,sultry,
寒い,,,
cold,,,
重い,,,
heavy,,,
面白い,,,
interesting,,,
甘い,,,
sweet,,,
暖かい,,,
warm (to the touch),warm,,
新しい,,,
new,,,
辛い,,,
spicy,,,
冷たい,,,
cold (to the touch); chilly,cold,chilly,
暗い pronounciation,,,
くらい,,,
熱い pronounciation,,,
あつい,,,
寒い pronounciation,,,
さむい,,,
重い pronounciation,,,
おもい,,,
面白い pronounciation,,,
おもしろい,,,
甘い pronounciation,,,
あまい,,,
暖かい pronounciation,,,
あたたかい,,,
新しい pronounciation,,,
あたらしい,,,
辛い pronounciation,,,
からい,,,
冷たい pronounciation,,,
つめたい,,,
大変,,,
difficult; hard; immense,difficult,hard,immense
有名,,,
famous,,,
静か,,,
quiet,,,
便利,,,
convenient,,,
大切,,,
important,,,
必要,,,
necessary,,,
立派,,,
splendid,,,
まじめ,,,
serious,,,
嫌,,,
unplesant; disliking,unplesant,disliking,
賑やか,,,
bustling / lively,bustling,lively,
大変 pronounciation,,,
たいへん,,,
有名 pronounciation,,,
ゆうめい,,,
静か pronounciation,,,
しずか,,,
便利 pronounciation,,,
べんり,,,
大切 pronounciation,,,
たいせつ,,,
必要 pronounciation,,,
ひつよう,,,
立派 pronounciation,,,
りっぱ,,,
まじめ pronounciation,,,
まじめ,,,
嫌 pronounciation,,,
いや,,,
賑やか pronounciation,,,
にぎやか,,,
十一,,,
eleven,,,
人間,,,
human,,,
百,,,
hundred,100,,
二百,,,
two hundred,200,,
強い,,,
strong; powerful,strong,powerful,
弱い,,,
weak,,,
近い,,,
near,,,
広い,,,
wide; spacious,wide,spacious,
多い,,,
many,,,
本,,,
book,,,
十一 pronounciation,,,
じゅういち,,,
人間 pronounciation,,,
にんげん,,,
百 pronounciation,,,
ひゃく,,,
二百 pronounciation,,,
にひゃく,,,
強い pronounciation,,,
つよい,,,
弱い pronounciation,,,
よわい,,,
近い pronounciation,,,
ちかい,,,
広い pronounciation,,,
ひろい,,,
多い pronounciation,,,
おおい,,,
本 pronounciation,,,
ほん,,,
